absences,failures,goout,age,Mjob,health,Medu,freetime,Fedu,Fjob,Walc,famrel,studytime,reason,guardian,Dalc,schoolsup,romantic,traveltime,activities,paid,sex,famsize,address,famsup,nursery,higher,internet
0,0,2,16,2,5,3,4,3,3,1,5,1,1,0,1,0,0,2,1,0,1,0,1,0,1,1,1
0,2,2,17,0,5,2,3,1,2,2,3,1,0,1,2,0,1,2,1,0,1,1,0,0,1,0,1
4,0,3,15,2,1,4,3,2,2,3,5,3,3,1,1,0,0,1,1,0,0,0,1,1,1,1,1
2,0,4,15,0,1,2,4,3,3,1,4,2,0,1,1,1,0,1,1,1,1,0,0,0,1,1,0
12,0,2,15,2,3,3,4,1,2,3,4,4,3,0,2,0,0,2,0,0,0,1,0,1,0,1,1
4,0,3,16,3,5,3,3,4,2,1,5,2,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
4,0,4,16,1,2,4,4,4,2,2,4,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1
0,0,2,15,3,1,4,3,3,3,1,4,2,3,1,1,0,0,1,1,1,0,0,1,1,1,1,1
0,2,2,16,2,5,3,3,3,2,1,4,1,0,2,1,0,1,2,1,0,0,0,1,1,0,1,1
2,0,3,15,1,5,4,3,2,2,1,4,2,2,1,1,0,0,1,0,1,0,1,1,1,1,1,1
0,0,2,17,2,3,1,2,2,3,2,3,2,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0
7,0,4,17,4,4,4,4,4,3,3,5,3,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1
3,0,5,17,3,2,3,4,1,3,4,2,1,0,1,3,0,0,2,0,0,1,1,1,0,0,1,1
0,0,3,16,1,3,4,2,2,3,1,4,2,1,0,1,0,1,1,0,1,0,0,1,0,1,1,1
2,0,2,16,0,3,2,2,2,2,2,4,1,0,1,1,0,0,3,0,0,1,0,0,0,0,1,0
11,2,4,20,3,4,2,5,2,3,5,5,2,0,2,4,0,0,1,0,1,1,1,1,1,1,1,0
0,2,2,15,3,5,3,2,4,4,2,4,3,0,0,2,0,1,2,0,0,0,0,0,1,1,1,1
0,0,3,15,2,3,4,3,2,2,1,3,4,0,1,1,0,0,1,0,0,1,0,1,0,1,1,1
9,0,3,18,4,2,4,4,4,4,1,5,2,3,1,1,0,0,1,1,1,1,1,1,1,1,1,1
6,2,4,15,2,3,3,4,2,2,4,4,2,0,1,1,1,1,2,0,0,1,0,0,1,1,1,1
0,0,1,15,2,5,3,5,4,2,1,5,2,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1
4,0,4,17,4,4,4,4,3,2,4,4,2,0,1,4,0,0,2,1,1,1,1,1,0,1,1,1
4,0,3,17,4,4,4,3,4,4,2,4,3,0,1,1,0,1,2,0,1,0,0,1,1,0,1,1
13,0,5,18,2,1,3,2,4,2,4,4,2,3,1,3,0,0,2,1,1,1,1,0,1,1,1,1
3,0,3,18,0,3,1,3,2,3,3,4,1,2,0,2,0,1,3,1,1,1,1,0,1,1,0,1
2,0,3,16,3,4,4,3,3,2,1,3,1,3,1,1,1,0,2,1,0,1,0,0,1,0,1,1
4,0,3,18,0,3,2,3,3,2,2,4,3,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1
4,0,2,17,2,1,2,5,2,2,1,4,2,0,0,1,0,0,2,1,1,1,0,0,1,1,1,1
14,0,3,17,1,3,4,2,3,2,2,3,2,3,0,1,0,1,1,1,0,0,1,1,0,1,1,1
6,0,4,15,3,5,2,5,2,3,2,5,4,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1
4,0,2,18,2,3,1,3,1,3,2,3,1,1,0,1,0,1,2,0,0,1,1,1,0,0,1,1
0,0,3,18,2,3,4,3,3,2,1,4,4,3,0,1,0,0,1,0,1,0,0,1,1,1,1,1
2,0,3,17,3,5,3,2,2,2,2,1,2,3,1,1,0,1,2,0,0,0,1,1,0,1,1,0
2,0,2,15,3,5,3,3,4,1,1,4,3,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1
3,1,2,19,2,4,1,5,2,3,2,4,2,0,2,2,0,0,1,0,0,1,0,1,0,0,1,1
8,0,3,15,4,5,4,4,4,2,4,5,1,1,2,2,0,1,1,0,0,1,1,1,1,0,1,1
2,0,2,15,4,5,4,2,4,3,1,4,3,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1
4,0,3,17,2,2,3,3,2,2,3,4,2,1,1,2,0,0,1,0,1,0,0,0,1,1,1,1
1,0,2,18,2,3,3,3,2,2,1,5,3,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0
8,0,2,15,2,5,4,2,3,2,1,5,2,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
4,0,2,16,1,2,4,2,3,3,1,4,4,3,1,1,0,0,1,1,0,1,0,1,0,1,1,1
0,0,3,16,2,3,2,2,2,2,3,5,4,3,1,1,0,1,1,0,1,0,0,1,0,1,1,1
56,0,3,17,2,1,3,3,3,2,3,5,2,3,1,2,0,1,1,1,0,0,1,1,1,1,1,1
4,1,4,19,2,5,1,4,1,2,3,4,1,1,2,3,0,0,3,0,0,1,0,0,1,1,1,1
6,0,5,16,3,5,1,5,1,3,5,5,1,0,0,5,1,1,4,1,0,0,0,1,1,0,1,1
0,1,4,16,2,5,1,4,2,2,4,4,1,0,1,2,0,0,2,1,0,1,1,1,0,1,1,0
10,0,5,18,2,2,4,4,3,2,2,4,2,1,2,1,0,1,2,0,1,0,1,1,1,1,1,1
5,0,3,18,0,2,2,3,2,0,2,4,3,2,1,1,0,0,1,0,1,0,0,1,1,1,1,1
0,2,3,18,3,4,2,3,2,2,2,3,1,3,1,1,0,0,1,1,0,1,0,0,1,1,1,1
3,3,3,21,2,3,1,5,1,2,3,5,1,0,2,3,0,0,1,0,0,1,0,0,0,0,1,0
2,0,4,17,2,1,3,4,2,2,3,4,2,3,1,1,0,0,2,0,1,0,1,1,0,1,1,1
2,0,5,16,2,5,2,3,1,2,1,4,2,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0
2,0,3,17,2,4,1,3,1,2,2,4,2,3,0,1,0,0,1,0,1,1,0,1,0,0,1,1
0,1,4,17,0,5,1,3,1,2,1,4,3,3,1,1,0,1,1,1,0,0,0,1,1,1,1,0
0,0,3,18,2,4,2,3,2,2,5,3,2,1,1,5,0,0,2,0,1,1,0,1,1,1,1,1
2,0,3,15,4,3,4,4,3,2,2,5,2,0,1,1,0,0,2,0,1,1,0,1,1,1,1,1
4,0,4,15,1,1,4,2,2,3,4,2,1,2,1,2,0,0,1,0,1,1,0,1,0,1,1,1
0,0,4,18,4,1,3,3,1,3,1,4,2,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1
8,0,4,16,4,3,3,3,3,2,5,3,1,1,0,3,0,0,3,1,1,1,1,0,1,1,1,1
0,0,2,15,3,1,3,2,2,2,1,4,2,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1
0,1,1,17,2,1,1,2,1,3,2,5,1,3,1,1,0,1,3,0,1,0,0,0,1,1,1,1
25,1,3,16,2,3,2,3,2,2,2,3,2,1,1,1,0,1,2,1,0,0,1,1,1,0,1,1
4,1,5,16,2,5,3,5,3,3,4,4,2,0,0,4,0,1,1,0,1,1,0,1,1,1,1,1
0,0,5,18,2,3,2,3,1,2,2,4,2,3,1,1,0,1,2,0,0,0,0,0,1,1,0,1
14,0,5,17,1,5,4,5,3,2,4,2,2,0,1,1,0,1,2,1,0,1,1,1,0,1,1,1
16,0,5,16,4,5,4,4,4,4,5,4,2,1,1,5,0,1,1,1,1,1,0,1,1,1,1,1
2,0,3,16,3,3,3,2,3,2,2,4,2,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
4,1,5,18,3,5,2,2,1,3,5,3,1,2,1,2,0,0,1,0,0,1,0,1,0,0,0,1
14,0,4,18,1,4,4,2,4,2,1,4,2,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1
8,3,4,19,2,2,1,4,1,3,3,5,2,1,2,3,0,0,3,0,0,1,0,0,0,1,1,1
